fy,revenue,cogs,sga,operating_income,interest_expense,pretax_income,tax_expense,net_income,total_assets,total_liabilities,total_equity,cash,receivables,inventory,payables,ppe_net,capex,da,current_assets,current_liabilities,long_term_debt,short_term_debt,balance_check
2006,,,,,,,,,,,,1651000000.0,,,,,,,,,,,
2007,39474000000.0,18038000000.0,14196000000.0,7182000000.0,224000000.0,7643000000.0,1973000000.0,5658000000.0,,,17296000000.0,910000000.0,,,,,2430000000.0,1426000000.0,,,,,
2008,43251000000.0,20351000000.0,15877000000.0,6959000000.0,329000000.0,7045000000.0,1879000000.0,5142000000.0,35994000000.0,23412000000.0,12582000000.0,2064000000.0,4683000000.0,2522000000.0,,11663000000.0,2446000000.0,1543000000.0,10806000000.0,8787000000.0,7858000000.0,369000000.0,
2009,43232000000.0,20099000000.0,15026000000.0,8044000000.0,397000000.0,8079000000.0,2100000000.0,5946000000.0,39848000000.0,22406000000.0,17442000000.0,3943000000.0,4624000000.0,2618000000.0,2881000000.0,12671000000.0,2128000000.0,1635000000.0,12571000000.0,8756000000.0,7400000000.0,102000000.0,
2010,57838000000.0,26575000000.0,22814000000.0,8332000000.0,903000000.0,8232000000.0,1894000000.0,6320000000.0,68153000000.0,46677000000.0,21476000000.0,5943000000.0,6323000000.0,3372000000.0,3865000000.0,19058000000.0,3253000000.0,2327000000.0,17569000000.0,15892000000.0,19999000000.0,113000000.0,
2011,66504000000.0,31593000000.0,25145000000.0,9633000000.0,856000000.0,8834000000.0,2372000000.0,6443000000.0,72882000000.0,51983000000.0,20899000000.0,4067000000.0,6912000000.0,3827000000.0,4083000000.0,19698000000.0,3339000000.0,2737000000.0,17441000000.0,18154000000.0,20568000000.0,6205000000.0,
2012,65492000000.0,31291000000.0,24970000000.0,9112000000.0,899000000.0,8304000000.0,2090000000.0,6178000000.0,74638000000.0,52239000000.0,22399000000.0,6297000000.0,7041000000.0,3581000000.0,4451000000.0,19136000000.0,2714000000.0,2689000000.0,18720000000.0,17089000000.0,23544000000.0,4815000000.0,
2013,66415000000.0,31243000000.0,25357000000.0,9705000000.0,911000000.0,8891000000.0,2104000000.0,6740000000.0,77478000000.0,53089000000.0,24389000000.0,9375000000.0,6954000000.0,3409000000.0,4874000000.0,18575000000.0,2795000000.0,2663000000.0,22203000000.0,17839000000.0,24333000000.0,5306000000.0,
2014,66683000000.0,31238000000.0,25772000000.0,9581000000.0,909000000.0,8757000000.0,2199000000.0,6513000000.0,70509000000.0,52961000000.0,17548000000.0,6134000000.0,6651000000.0,3143000000.0,5127000000.0,17244000000.0,2859000000.0,2625000000.0,20663000000.0,18092000000.0,23821000000.0,2200000000.0,
2015,63056000000.0,28731000000.0,24613000000.0,8353000000.0,970000000.0,7442000000.0,1941000000.0,5452000000.0,69667000000.0,57637000000.0,12030000000.0,9096000000.0,6437000000.0,2720000000.0,5546000000.0,16317000000.0,2758000000.0,2416000000.0,23031000000.0,17578000000.0,29213000000.0,4071000000.0,
